70%,70%,73%,74%,76%,77%,78%,78%,79%,81%,82%,82%,83%,83%,83%,83%,83%,84%,84%,84%,85%,85%,85%,85%,85%,85%,85%,85%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%
53%,57%,64%,64%,62%,62%,65%,66%,68%,69%,69%,69%,69%,69%,69%,70%,70%,70%,70%,70%,70%,70%,71%,71%,71%,71%,71%,71%,71%,72%,71%,72%,71%,71%,71%,71%,72%,72%,72%,72%,72%,72%,72%,72%,72%,72%,72%,72%,71%,71%
69%,72%,78%,80%,80%,81%,82%,83%,84%,85%,85%,85%,85%,85%,86%,86%,86%,87%,87%,87%,87%,87%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%
69%,71%,76%,77%,78%,79%,80%,80%,81%,81%,82%,82%,82%,82%,83%,83%,83%,84%,84%,84%,84%,84%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,86%,86%,86%,86%,86%
77%,85%,88%,90%,91%,92%,92%,93%,93%,94%,94%,94%,95%,95%,95%,95%,96%,96%,96%,96%,96%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%
61%,72%,76%,80%,82%,83%,84%,85%,84%,84%,84%,84%,84%,84%,85%,85%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,87%,87%,87%,87%,87%,87%,87%,87%,87%,87%,87%,87%,87%,87%,87%,87%,87%,87%,87%,87%,87%
77%,76%,77%,78%,79%,79%,78%,78%,78%,79%,79%,79%,80%,81%,81%,81%,80%,81%,81%,82%,82%,82%,83%,82%,82%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,84%,84%,84%,84%,84%,84%,84%,84%,84%,84%,84%,84%
75%,81%,84%,86%,88%,89%,90%,90%,91%,91%,91%,91%,92%,92%,93%,93%,93%,93%,93%,93%,94%,93%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%
80%,85%,89%,90%,91%,91%,92%,92%,93%,93%,93%,94%,94%,94%,94%,94%,94%,94%,95%,95%,95%,95%,95%,95%,95%,95%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,97%,97%,97%,97%
83%,86%,90%,91%,92%,92%,93%,93%,93%,94%,94%,95%,95%,95%,95%,95%,95%,95%,95%,95%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%
80%,83%,86%,87%,89%,89%,90%,91%,91%,91%,92%,92%,93%,93%,93%,94%,94%,94%,95%,95%,95%,95%,95%,95%,95%,95%,96%,95%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%
65%,64%,67%,69%,73%,74%,76%,77%,78%,79%,79%,80%,80%,80%,80%,80%,80%,80%,81%,81%,81%,81%,81%,81%,81%,81%,81%,81%,81%,81%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,83%,83%,83%,83%,83%
64%,77%,79%,82%,83%,85%,85%,85%,85%,85%,86%,86%,87%,87%,87%,87%,87%,87%,87%,88%,88%,88%,88%,88%,88%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%
79%,84%,87%,89%,91%,91%,92%,93%,93%,94%,94%,95%,95%,95%,95%,96%,96%,96%,96%,96%,96%,96%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%
56%,63%,68%,70%,72%,74%,75%,77%,78%,78%,78%,78%,77%,77%,78%,78%,78%,78%,78%,78%,78%,78%,78%,78%,78%,78%,78%,78%,78%,78%,79%,79%,79%,79%,79%,79%,79%,79%,79%,79%,79%,79%,79%,79%,79%,79%,79%,79%,80%,80%
78%,83%,84%,86%,88%,87%,87%,88%,88%,88%,88%,87%,87%,87%,87%,88%,88%,89%,89%,89%,89%,89%,89%,89%,90%,89%,89%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,91%,91%,91%,91%,91%,91%,91%,91%,91%
65%,73%,79%,81%,83%,82%,83%,84%,85%,84%,85%,85%,85%,85%,85%,85%,85%,86%,86%,86%,86%,86%,86%,86%,86%,86%,87%,87%,87%,87%,87%,87%,87%,87%,87%,87%,87%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%
84%,87%,89%,91%,92%,93%,93%,94%,94%,94%,95%,95%,95%,95%,96%,96%,96%,96%,96%,96%,96%,96%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,98%,98%,98%,98%,98%,98%
74%,80%,81%,84%,84%,85%,85%,85%,85%,85%,86%,86%,87%,87%,87%,87%,87%,87%,87%,87%,87%,87%,87%,87%,87%,87%,87%,87%,87%,87%,87%,87%,87%,87%,87%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%
77%,82%,87%,90%,91%,92%,92%,93%,94%,94%,95%,95%,95%,96%,96%,96%,96%,96%,96%,96%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%
81%,81%,84%,85%,86%,88%,89%,89%,89%,90%,90%,90%,91%,91%,91%,92%,92%,92%,92%,92%,92%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,95%
74%,74%,77%,80%,81%,81%,82%,81%,81%,82%,82%,82%,82%,83%,83%,83%,83%,83%,84%,84%,84%,84%,84%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,85%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%,86%
85%,90%,89%,89%,90%,91%,91%,91%,92%,92%,92%,92%,93%,93%,93%,93%,93%,93%,93%,94%,94%,94%,94%,94%,94%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,96%,96%,96%,96%,96%,96%,96%,96%
73%,74%,76%,77%,79%,80%,80%,81%,82%,82%,83%,83%,84%,85%,85%,85%,85%,86%,86%,86%,86%,86%,87%,87%,87%,87%,87%,87%,87%,87%,87%,87%,87%,87%,87%,87%,87%,87%,87%,88%,88%,88%,87%,88%,88%,88%,88%,88%,88%,88%
71%,78%,83%,84%,84%,85%,87%,88%,88%,89%,89%,90%,90%,90%,90%,91%,91%,91%,91%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,94%,93%,93%,94%,94%,94%,94%,94%
70%,72%,73%,74%,76%,78%,80%,81%,82%,83%,84%,84%,85%,85%,86%,87%,87%,87%,88%,88%,88%,88%,88%,88%,88%,88%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%
72%,78%,80%,82%,84%,85%,85%,86%,87%,87%,88%,88%,88%,89%,89%,89%,89%,89%,89%,89%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%
82%,88%,91%,92%,92%,93%,93%,93%,92%,93%,92%,93%,92%,93%,93%,93%,93%,93%,93%,93%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,95%,94%,95%,95%,95%,95%,95%
69%,77%,83%,83%,85%,87%,88%,89%,89%,89%,90%,91%,91%,91%,91%,91%,91%,91%,92%,92%,92%,92%,92%,92%,93%,93%,93%,93%,93%,93%,93%,93%,93%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%
84%,87%,88%,90%,92%,92%,92%,92%,93%,94%,94%,94%,94%,95%,95%,95%,95%,95%,95%,95%,95%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,96%,97%,97%
77%,83%,86%,88%,89%,90%,90%,90%,91%,91%,91%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%
73%,76%,80%,83%,83%,85%,86%,86%,87%,88%,88%,88%,89%,89%,89%,89%,89%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%
82%,83%,84%,84%,84%,84%,85%,84%,85%,85%,86%,86%,86%,86%,87%,87%,87%,87%,87%,87%,87%,87%,87%,87%,87%,87%,87%,87%,87%,87%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%
75%,81%,84%,86%,86%,87%,88%,89%,89%,90%,90%,91%,91%,91%,91%,91%,91%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%
72%,72%,76%,76%,76%,76%,77%,77%,77%,77%,79%,80%,81%,81%,81%,81%,81%,82%,82%,82%,82%,82%,81%,81%,82%,82%,82%,82%,82%,82%,82%,82%,82%,82%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%,83%
61%,69%,72%,74%,75%,77%,77%,79%,79%,80%,81%,81%,81%,82%,82%,82%,82%,83%,83%,83%,83%,83%,83%,83%,84%,84%,84%,84%,84%,84%,84%,84%,84%,84%,84%,84%,84%,84%,85%,85%,84%,84%,84%,84%,85%,85%,85%,85%,85%,85%
75%,82%,85%,86%,87%,88%,89%,88%,89%,90%,90%,90%,90%,91%,91%,91%,91%,91%,92%,91%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%
77%,83%,85%,88%,89%,91%,92%,92%,93%,93%,94%,94%,95%,95%,95%,95%,96%,96%,96%,96%,96%,96%,96%,96%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,97%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%
82%,82%,82%,85%,87%,88%,88%,88%,88%,89%,89%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%,91%
76%,81%,84%,87%,88%,89%,90%,90%,91%,92%,92%,92%,92%,93%,93%,93%,93%,93%,94%,94%,94%,94%,94%,94%,94%,94%,94%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%
67%,63%,62%,63%,63%,65%,65%,65%,65%,65%,65%,65%,64%,65%,65%,65%,66%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,68%,68%,68%,68%,68%,68%,68%,68%,68%,68%,68%,68%,68%,68%,69%,69%,69%,68%,69%,69%,69%,69%
70%,68%,69%,72%,73%,74%,74%,75%,75%,76%,77%,77%,78%,77%,78%,78%,78%,78%,79%,78%,78%,78%,79%,79%,79%,80%,79%,80%,79%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%
55%,70%,71%,73%,75%,75%,76%,77%,78%,80%,80%,81%,81%,82%,83%,83%,83%,83%,83%,83%,83%,83%,83%,84%,84%,84%,84%,84%,84%,84%,84%,84%,85%,84%,84%,84%,84%,84%,85%,85%,85%,85%,84%,84%,85%,85%,85%,85%,85%,85%
75%,81%,83%,87%,87%,89%,90%,90%,91%,92%,92%,92%,93%,93%,93%,93%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,95%,96%,96%
62%,71%,77%,78%,79%,79%,78%,79%,79%,79%,80%,80%,80%,81%,81%,82%,82%,82%,83%,83%,84%,83%,83%,84%,84%,84%,84%,84%,84%,84%,84%,84%,84%,84%,84%,85%,85%,85%,85%,85%,85%,85%,86%,86%,86%,86%,86%,86%,86%,86%
74%,80%,85%,88%,87%,88%,89%,90%,90%,91%,91%,91%,91%,91%,91%,91%,91%,91%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,92%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%,93%
73%,76%,82%,84%,87%,88%,89%,90%,90%,90%,90%,90%,90%,90%,91%,91%,91%,92%,92%,92%,92%,92%,92%,93%,93%,93%,93%,93%,93%,93%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%,94%
56%,56%,61%,61%,61%,65%,66%,67%,68%,69%,69%,69%,69%,69%,69%,69%,69%,69%,69%,70%,70%,70%,70%,70%,70%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,71%,72%,72%,72%,72%,72%,72%,72%,72%,72%,72%,72%,72%
76%,82%,83%,86%,86%,86%,86%,86%,86%,87%,87%,88%,87%,88%,88%,88%,88%,88%,88%,88%,88%,88%,88%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%,89%
73%,76%,80%,82%,84%,84%,86%,86%,87%,87%,87%,88%,87%,88%,88%,88%,88%,88%,88%,89%,89%,89%,89%,89%,89%,89%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%
